id,url,title,price,price_m2_text,price_m2,rooms,square_m2,floor,floor_total,district,city,street,house_num,latitude,longitude,complex_id,complex_alias,complex_name,furniture,rent_renovation,priv_dorm,bathrooms_count,kitchen_studio,suited_for,full_description,photo_urls,photo_count,photo_set_hash,seller_type,owner_name,is_identity_confirmed,published_date,created_at,added_at,storage,scraped_at,drop_reason
1014029952,https://krisha.kz/a/show/1014029952,1-комнатная квартира · 35 м²,300000,за месяц,4857,1,35,,,Almaty_r-n,Astana,Baytursynova,61,51.115069503246,71.534214028918,,,,,,,,,,"• Коммунальные услуги отдельно 
• Депозит 
• Агентское сопровождение сделки-60.000 тенге 
⚖️ Юридическое оформление и прозрачность гарантированы 
✨ Всё по закону, честно и с заботой о вас 💫","[""https://krisha-photos.kcdn.online/webp/0c/0c594c15-ce4d-40f1-9a70-f8faf3af1dd7/92-full.jpg"", ""https://krisha-photos.kcdn.online/webp/0c/0c594c15-ce4d-40f1-9a70-f8faf3af1dd7/93-full.jpg"", ""https://krisha-photos.kcdn.online/webp/0c/0c594c15-ce4d-40f1-9a70-f8faf3af1dd7/94-full.jpg"", ""https://krisha-photos.kcdn.online/webp/0c/0c594c15-ce4d-40f1-9a70-f8faf3af1dd7/95-full.jpg"", ""https://krisha-photos.kcdn.online/webp/0c/0c594c15-ce4d-40f1-9a70-f8faf3af1dd7/96-full.jpg""]",5,630d60ab2becda9f9e6d749b7356567320213669bfd1c4cb61025b746b97b8c0,,Алихан  Борамбаев,False,2026-08-13,2026-07-17,2026-08-13,live,2026-08-23T16:38:43+00:00,duplicate_id
1013963127,https://krisha.kz/a/show/1013963127,3-комнатная квартира · 110 м² · 12/25 этаж,500000,за месяц,4545,3,110,12,25,Sarayshyk_r-n,Astana,prospekt_Koshkarbaeva,8,51.127757430323,71.467013952023,8477146,hajvil-astana,Хайвил Астана,полностью,,нет,,,,"⭐⭐⭐⭐⭐ • Brand NEW Luxury Apartment in Highvill Astana🏢 Block – Е • квартира класса – люкс, на длительный срок, в престижном районе города • полностью меблирована • вся бытовая и оргтехника в отличном состоянии😊 • 2 санузла • не угловая • умный дом премиум класса • управление всей квартирой с помощью Digital Home Network System (сенсорного WAll-pad) • Green Smart Sуstem • обеспечивающая экономию э/энергии и воды • регулируемые теплые полы • встроенные гардеробные шкафы • встроенная кухня • электроплита с духовкой • встроенный холодильник • вытяжка • посудомоечная машина • водяной фильтр • электро-биде • высокоскоростной Wi-Fi интернет • система защиты всей квартиры • датчик движения • цифровой замок • видео наблюдение • видеодомофон с функцией вызова лифта из квартиры • весь комплекс круглосуточно охраняется • Расположение как жилого комплекса, так и самой квартиры • шикарный панорамный вид из окна • рядом с комплексом - Президентский парк и Дворец Мира и согласия (Пирамида) • развитая инфраструктура системы One Step • вся полноценная жизнь в шаговой доступности внутри одного комплекса – фитнесс-центр с сауной • бассейном и тренажерным залом • Shopping Street • улица с бутиками и магазинами • кафе • детские площадки с антиударным защитным покрытием • скверы • детский сад и другие предприятия социального быта и сервиса • 3-уровненный отапливаемый паркинг • вход только для жителей комплекса по магнитной карточке • прекрасно благоустроенная территория • детские игровые площадки • прогулочные аллеи • рядом столичный парк с неповторимым пейзажем🌳🌳🌳🌲🌲🌿🌿🌿, который создает неповторимую атмосферу уюта • очень теплая • уютная • СОЛНЕЧНАЯ КВАРТИРА ЖДЕТ ВАС! • С Уважением, специалист по недвижимости NUR-KOZHA👍

Дом ориентировочно находится возле Блок-Е","[""https://krisha-photos.kcdn.online/webp/16/16ca176f-2381-4042-922b-bfe410c21a77/2-full.jpg"", ""https://krisha-photos.kcdn.online/webp/16/16ca176f-2381-4042-922b-bfe410c21a77/3-full.jpg"", ""https://krisha-photos.kcdn.online/webp/16/16ca176f-2381-4042-922b-bfe410c21a77/1-full.jpg"", ""https://krisha-photos.kcdn.online/webp/16/16ca176f-2381-4042-922b-bfe410c21a77/4-full.jpg"", ""https://krisha-photos.kcdn.online/webp/16/16ca176f-2381-4042-922b-bfe410c21a77/9-full.jpg"", ""https://krisha-photos.kcdn.online/webp/16/16ca176f-2381-4042-922b-bfe410c21a77/10-full.jpg"", ""https://krisha-photos.kcdn.online/webp/16/16ca176f-2381-4042-922b-bfe410c21a77/6-full.jpg"", ""https://krisha-photos.kcdn.online/webp/16/16ca176f-2381-4042-922b-bfe410c21a77/12-full.jpg"", ""https://krisha-photos.kcdn.online/webp/16/16ca176f-2381-4042-922b-bfe410c21a77/11-full.jpg""]",9,892becbeddac7507411cee05db2e50f05ac0a9078ea347e92534d5b88995482b,,ASTANA ELITE,True,2026-08-13,2026-07-15,2026-08-13,live,2026-08-23T16:38:43+00:00,duplicate_id
1014001410,https://krisha.kz/a/show/1014001410,2-комнатная квартира · 72 м² · 10/28 этаж,300000,за месяц,4167,2,72,10,28,Sarayshyk_r-n,Astana,prospekt_Koshkarbaeva,10/1,51.127256649747,71.469217629708,8477146,hajvil-astana,Хайвил Астана,полностью,,нет,,,,"⭐⭐⭐⭐⭐ • Brand NEW Luxury Apartment in Highvill Astana Block – G • квартира класса – люкс, на длительный срок, в престижном районе города • ЖК ""HighVill Astana"" 🏢 • полностью меблирована • вся бытовая и оргтехника в отличном состоянии😊 • 2 санузла • не угловая • умный дом премиум класса • управление всей квартирой с помощью Digital Home Network System (сенсорного WAll-pad) • Green Smart Sуstem • обеспечивающая экономию э/энергии и воды • регулируемые теплые полы • встроенные гардеробные шкафы • встроенная кухня • электроплита с духовкой • встроенный холодильник • вытяжка • водяной фильтр • электро-биде • высокоскоростной Wi-Fi интернет • система защиты всей квартиры • датчик движения • цифровой замок • видео наблюдение • видеодомофон с функцией вызова лифта из квартиры • весь комплекс круглосуточно охраняется • расположение как жилого комплекса, так и самой квартиры • шикарный панорамный вид из окна • рядом с комплексом - Президентский парк и Дворец Мира и согласия (Пирамида) • развитая инфраструктура системы One Step • вся полноценная жизнь в шаговой доступности внутри одного комплекса – фитнесс-центр с сауной • бассейном и тренажерным залом • Shopping Street • улица с бутиками и магазинами • кафе • детские площадки с антиударным защитным покрытием • скверы • детский сад и другие предприятия социального быта и сервиса • 3-уровненный отапливаемый паркинг • вход только для жителей комплекса по магнитной карточке • прекрасно благоустроенная территория • детские игровые площадки • прогулочные аллеи • рядом столичный парк с неповторимым пейзажем🌳🌳🌳🌲🌲🌿🌿🌿, который создает неповторимую атмосферу уюта • очень теплая • уютная • СОЛНЕЧНАЯ КВАРТИРА ЖДЕТ ВАС! • С Уважением, специалист по недвижимости NUR-KOZHA👍

Дом ориентировочно находится возле Блок-G","[""https://krisha-photos.kcdn.online/webp/13/1393fd17-7fa8-41c7-90eb-56afc90c9a5b/10-full.jpg"", ""https://krisha-photos.kcdn.online/webp/13/1393fd17-7fa8-41c7-90eb-56afc90c9a5b/8-full.jpg"", ""https://krisha-photos.kcdn.online/webp/13/1393fd17-7fa8-41c7-90eb-56afc90c9a5b/1-full.jpg"", ""https://krisha-photos.kcdn.online/webp/13/1393fd17-7fa8-41c7-90eb-56afc90c9a5b/3-full.jpg"", ""https://krisha-photos.kcdn.online/webp/13/1393fd17-7fa8-41c7-90eb-56afc90c9a5b/18-full.jpg"", ""https://krisha-photos.kcdn.online/webp/13/1393fd17-7fa8-41c7-90eb-56afc90c9a5b/7-full.jpg"", ""https://krisha-photos.kcdn.online/webp/13/1393fd17-7fa8-41c7-90eb-56afc90c9a5b/9-full.jpg"", ""https://krisha-photos.kcdn.online/webp/13/1393fd17-7fa8-41c7-90eb-56afc90c9a5b/2-full.jpg"", ""https://krisha-photos.kcdn.online/webp/13/1393fd17-7fa8-41c7-90eb-56afc90c9a5b/15-full.jpg"", ""https://krisha-photos.kcdn.online/webp/13/1393fd17-7fa8-41c7-90eb-56afc90c9a5b/17-full.jpg"", ""https://krisha-photos.kcdn.online/webp/13/1393fd17-7fa8-41c7-90eb-56afc90c9a5b/16-full.jpg"", ""https://krisha-photos.kcdn.online/webp/13/1393fd17-7fa8-41c7-90eb-56afc90c9a5b/4-full.jpg"", ""https://krisha-photos.kcdn.online/webp/13/1393fd17-7fa8-41c7-90eb-56afc90c9a5b/5-full.jpg"", ""https://krisha-photos.kcdn.online/webp/13/1393fd17-7fa8-41c7-90eb-56afc90c9a5b/12-full.jpg"", ""https://krisha-photos.kcdn.online/webp/13/1393fd17-7fa8-41c7-90eb-56afc90c9a5b/13-full.jpg"", ""https://krisha-photos.kcdn.online/webp/13/1393fd17-7fa8-41c7-90eb-56afc90c9a5b/11-full.jpg""]",16,a720c18392d63f0590ff72cf538da775029633586143a2a413425ae3a6b9a24a,,ASTANA ELITE,True,2026-08-13,2026-07-16,2026-08-13,live,2026-08-23T16:38:43+00:00,duplicate_id
679333926,https://krisha.kz/a/show/679333926,4-комнатная квартира · 175 м²,800000,за месяц,4571,4,175,3,,Almaty_r-n,Astana,Sarykengir,1-7,51.138613586358,71.451758404898,8478192,ak-bulak-3,Ак Булак-3,полностью,"свежий ремонт, новая мебель",,,,,,"[""https://krisha-photos.kcdn.online/webp/21/21370dac-ee9c-4649-b234-42a7c8288ef4/1-full.jpg"", ""https://krisha-photos.kcdn.online/webp/21/21370dac-ee9c-4649-b234-42a7c8288ef4/2-full.jpg"", ""https://krisha-photos.kcdn.online/webp/21/21370dac-ee9c-4649-b234-42a7c8288ef4/3-full.jpg"", ""https://krisha-photos.kcdn.online/webp/21/21370dac-ee9c-4649-b234-42a7c8288ef4/4-full.jpg"", ""https://krisha-photos.kcdn.online/webp/21/21370dac-ee9c-4649-b234-42a7c8288ef4/5-full.jpg"", ""https://krisha-photos.kcdn.online/webp/21/21370dac-ee9c-4649-b234-42a7c8288ef4/6-full.jpg"", ""https://krisha-photos.kcdn.online/webp/21/21370dac-ee9c-4649-b234-42a7c8288ef4/7-full.jpg"", ""https://krisha-photos.kcdn.online/webp/21/21370dac-ee9c-4649-b234-42a7c8288ef4/8-full.jpg"", ""https://krisha-photos.kcdn.online/webp/21/21370dac-ee9c-4649-b234-42a7c8288ef4/9-full.jpg"", ""https://krisha-photos.kcdn.online/webp/21/21370dac-ee9c-4649-b234-42a7c8288ef4/10-full.jpg"", ""https://krisha-photos.kcdn.online/webp/21/21370dac-ee9c-4649-b234-42a7c8288ef4/11-full.jpg"", ""https://krisha-photos.kcdn.online/webp/21/21370dac-ee9c-4649-b234-42a7c8288ef4/12-full.jpg"", ""https://krisha-photos.kcdn.online/webp/21/21370dac-ee9c-4649-b234-42a7c8288ef4/13-full.jpg"", ""https://krisha-photos.kcdn.online/webp/21/21370dac-ee9c-4649-b234-42a7c8288ef4/14-full.jpg"", ""https://krisha-photos.kcdn.online/webp/21/21370dac-ee9c-4649-b234-42a7c8288ef4/15-full.jpg"", ""https://krisha-photos.kcdn.online/webp/21/21370dac-ee9c-4649-b234-42a7c8288ef4/16-full.jpg"", ""https://krisha-photos.kcdn.online/webp/21/21370dac-ee9c-4649-b234-42a7c8288ef4/17-full.jpg""]",17,0bc5c2c03463a975ac023ebde1edd9a5fe0ee3df672de4e1067e0c0af1aa0236,,Хозяин,False,2026-08-13,2022-10-04,2026-08-13,live,2026-08-23T16:38:43+00:00,duplicate_id
1014657772,https://krisha.kz/a/show/1014657772,2-комнатная квартира · 70 м² · 13/18 этаж,400000,за месяц,5714,2,70,13,18,Nura_r-n,Astana,E-36,4,51.123364721851,71.381613082209,16738225,resbuplika,Respublika,полностью,,,,,,"Евро 3 комнатная квартира, просторная, имеется балкон. Полностью мебелирована. Холодильник, стиральная машина, посудомоечная машинка, плита, духовка, утюг. Все новое. Окна с защитой. Квартира ранее не сдавалась. Никто не проживал. на площадке 3 лифта. Кровати и диваны будут куплены по необходимости. Смарт-замок, face id, закрытый безопасный большой двор. 
Рядом находятся магазины, кафе, фитнес-залы, школы, Binom, государственные детские сады и другие необходимые для жизни объекты. Рядом строится эко-парк. 
Большие бесплатные парковочные зоны возле дома. 
Квартира сдается на длительный срок. 
Требования к жильцам: Предпочтительно специалистам или семейной паре с детьми старше 7 лет. Ответственным, аккуратным арендаторам без вредных привычек. 
Депозит (возвращается присоблюдении условии аренды). 
Коммунальные услуги оплачиваются отдельно. 
Реелторам просьба не беспокоить.","[""https://krisha-photos.kcdn.online/webp/f9/f978e3f8-9442-4901-ab13-7733a677786d/1-full.jpg"", ""https://krisha-photos.kcdn.online/webp/f9/f978e3f8-9442-4901-ab13-7733a677786d/2-full.jpg"", ""https://krisha-photos.kcdn.online/webp/f9/f978e3f8-9442-4901-ab13-7733a677786d/3-full.jpg"", ""https://krisha-photos.kcdn.online/webp/f9/f978e3f8-9442-4901-ab13-7733a677786d/4-full.jpg"", ""https://krisha-photos.kcdn.online/webp/f9/f978e3f8-9442-4901-ab13-7733a677786d/5-full.jpg"", ""https://krisha-photos.kcdn.online/webp/f9/f978e3f8-9442-4901-ab13-7733a677786d/6-full.jpg"", ""https://krisha-photos.kcdn.online/webp/f9/f978e3f8-9442-4901-ab13-7733a677786d/7-full.jpg"", ""https://krisha-photos.kcdn.online/webp/f9/f978e3f8-9442-4901-ab13-7733a677786d/9-full.jpg"", ""https://krisha-photos.kcdn.online/webp/f9/f978e3f8-9442-4901-ab13-7733a677786d/8-full.jpg""]",9,7e1cd65252901af744730a91d136628af72e559168c5a980c9650a51fde855d5,,Хозяин,False,2026-08-13,2026-08-08,2026-08-13,live,2026-08-23T16:38:43+00:00,duplicate_id
1014786606,https://krisha.kz/a/show/1014786606,2-комнатная квартира · 42 м² · 8/12 этаж,300000,за месяц,6667,2,42,8,12,Nura_r-n,Astana,Zhuban_Moldagaliev,5,51.126300815499,71.366554860169,18456589,delta,Delta,полностью,"свежий ремонт, новая мебель",,,,,"Срочно!✅ 
Сдается квартира в ЖК Delta✅ 
 
ЦЕНА:280+ком 
ДЕПОЗИТ:100к 
Комиссия риелтора 25%

Дом ориентировочно находится возле Жагалау, МНУ, Ханшатыр","[""https://krisha-photos.kcdn.online/webp/d5/d58c399d-8b63-4593-b48e-372f86e3a262/5-full.jpg"", ""https://krisha-photos.kcdn.online/webp/d5/d58c399d-8b63-4593-b48e-372f86e3a262/1-full.jpg"", ""https://krisha-photos.kcdn.online/webp/d5/d58c399d-8b63-4593-b48e-372f86e3a262/2-full.jpg"", ""https://krisha-photos.kcdn.online/webp/d5/d58c399d-8b63-4593-b48e-372f86e3a262/3-full.jpg"", ""https://krisha-photos.kcdn.online/webp/d5/d58c399d-8b63-4593-b48e-372f86e3a262/4-full.jpg"", ""https://krisha-photos.kcdn.online/webp/d5/d58c399d-8b63-4593-b48e-372f86e3a262/6-full.jpg""]",6,b3a92db4586b1cd345c28ebc866630a1ea56b46a23905ed238d0145d880a2451,,Емелбаев Бекзат,False,2026-08-13,2026-08-13,2026-08-13,live,2026-08-23T16:38:43+00:00,duplicate_id
1008524221,https://krisha.kz/a/show/1008524221,1-комнатная квартира · 35 м² · 2 этаж,230000,за месяц,6571,1,35,2,,Esilyskiy_r-n,Astana,Turan,67,51.095619527615,71.391987287486,14881977,honnete,Honnete,полностью,"не новый, но аккуратный и чистый ремонт",,,,,"Светлая и уютная квартира в доме бизнес -класса. Удобное расположение. В шаговой доступности Назарбаев Университет, Назарбаев интеллектуальная школа, Canadian International School. Рассматриваем жильцов на долгосрочный период.

Дом ориентировочно находится возле 77","[""https://krisha-photos.kcdn.online/webp/1f/1f1ff1ef-743e-4ea3-a5cf-0c8fe565d6dd/1-full.jpg"", ""https://krisha-photos.kcdn.online/webp/1f/1f1ff1ef-743e-4ea3-a5cf-0c8fe565d6dd/2-full.jpg"", ""https://krisha-photos.kcdn.online/webp/1f/1f1ff1ef-743e-4ea3-a5cf-0c8fe565d6dd/5-full.jpg"", ""https://krisha-photos.kcdn.online/webp/1f/1f1ff1ef-743e-4ea3-a5cf-0c8fe565d6dd/7-full.jpg"", ""https://krisha-photos.kcdn.online/webp/1f/1f1ff1ef-743e-4ea3-a5cf-0c8fe565d6dd/8-full.jpg"", ""https://krisha-photos.kcdn.online/webp/1f/1f1ff1ef-743e-4ea3-a5cf-0c8fe565d6dd/9-full.jpg""]",6,b2f50753bf825a4a592074bfd9cd2b7b1dccc8ef2b92314f5c3e5d9c777fcf5c,,Хозяин,False,2026-08-13,2026-01-07,2026-08-13,live,2026-08-23T16:38:43+00:00,duplicate_id
1013680937,https://krisha.kz/a/show/1013680937,1-комнатная квартира · 43 м² · 2/12 этаж,250000,за месяц,5814,1,43,2,12,Esilyskiy_r-n,Astana,Buhar_Zhyrau,27,51.098710896195,71.440686673469,17969615,zaman,ZAMAN,полностью,"свежий ремонт, новая мебель",,,,,"Сдам 1-комнатную квартиру в ЖК Zaman 🏡✨ 
 
📍 Левый берег, рядом с Президентским парком, парком ""Самал"", Ботанический сад, Экспо. 
 🚗 Удобный мост соединяет Левый и Правый берег 
 
🔹 После ремонта, всё свежее 
🔹 Бытовая техника 
🔹 Мебель 
🔹 Развитая инфраструктура, престижный район 
 
💰 Арендная плата: 250 000 тг + коммунальные услуги 
🔹 Возвратный депозит: 50 000 тг 
 
👩‍💼 Сдам одной или двум девушкам либо семейной паре без детей 
🚫 Студентов не рассматриваю 
 
📞 Пишите/звоните для деталей!","[""https://krisha-photos.kcdn.online/webp/cb/cba0470b-92b5-453a-9370-9dcfdac6650f/7-full.jpg"", ""https://krisha-photos.kcdn.online/webp/cb/cba0470b-92b5-453a-9370-9dcfdac6650f/9-full.jpg"", ""https://krisha-photos.kcdn.online/webp/cb/cba0470b-92b5-453a-9370-9dcfdac6650f/8-full.jpg"", ""https://krisha-photos.kcdn.online/webp/cb/cba0470b-92b5-453a-9370-9dcfdac6650f/3-full.jpg"", ""https://krisha-photos.kcdn.online/webp/cb/cba0470b-92b5-453a-9370-9dcfdac6650f/4-full.jpg"", ""https://krisha-photos.kcdn.online/webp/cb/cba0470b-92b5-453a-9370-9dcfdac6650f/10-full.jpg"", ""https://krisha-photos.kcdn.online/webp/cb/cba0470b-92b5-453a-9370-9dcfdac6650f/5-full.jpg"", ""https://krisha-photos.kcdn.online/webp/cb/cba0470b-92b5-453a-9370-9dcfdac6650f/6-full.jpg""]",8,c6455e8f934b4b8aecb43350f1a2bd4980c8a8ae7300f2f7f61ba66aaacaa1e1,,Хозяин,False,2026-08-13,2026-07-04,2026-08-13,live,2026-08-14T06:34:55+00:00,duplicate_id
761982645,https://krisha.kz/a/show/761982645,2-комнатная квартира · 109.35 м² · 2/4 этаж,1300000,за месяц,11888,2,109.35,2,4,Esilyskiy_r-n,Astana,Pr_Kabanbay_Batyra,2/7,51.14997,71.428444,21197828,,,полностью,"свежий ремонт, новая мебель",,,,,"проспект. Кабанбай Батыра 2/7, Клубный Жилой Комплекс «ОТЫРАР» ЭКСКЛЮЗИВНАЯ КВАРТИРА В АРЕНДУ – ВЫСШИЙ КЛАСС КОМФОРТА И СТИЛЯ! 
 
сдается в аренду уникальная 2-комнатная квартира (109, 35 м²) в самом сердце столицы! Это не просто жилье – это пространство для жизни, работы и отдыха, созданное для успешных и требовательных людей. 
 
✨ ДЛЯ КОГО? 
 • Брутальный холостяк, шикарная бизнес-леди или стильная пара – каждый почувствует себя здесь особенным! 
 • Идеально для тех, кто ценит комфорт, эстетику и удобство расположения. 
 
✅ ПРЕИМУЩЕСТВА: 
 • Дизайнерский ремонт с нотками экзотики – атмосфера уюта и релакса. 
 • Полностью меблирована – заезжайте и живите без забот! 
 • Современная техника, удобная планировка. 
 • Паркинг включен – ваш автомобиль всегда под защитой. 
 • Охраняемый двор, интеллигентные соседи и полная безопасность. 
 • Локация ТОП: рядом река Ишим, центральный парк, рестораны, ТРЦ – лучшее место в городе! 
 
Цена аренды: 1.500.000 тг/месяц. (Договоримся) ) 
 
☑️ Готовы заселиться в эту роскошную квартиру? звоните прямо сейчас и бронируйте просмотр!

Дом ориентировочно находится возле Напротив парка Ата Тюрк","[""https://krisha-photos.kcdn.online/webp/16/16836e4c-e2fd-4b55-ae6c-ee01c206bd91/1-full.jpg"", ""https://krisha-photos.kcdn.online/webp/16/16836e4c-e2fd-4b55-ae6c-ee01c206bd91/2-full.jpg"", ""https://krisha-photos.kcdn.online/webp/16/16836e4c-e2fd-4b55-ae6c-ee01c206bd91/3-full.jpg"", ""https://krisha-photos.kcdn.online/webp/16/16836e4c-e2fd-4b55-ae6c-ee01c206bd91/4-full.jpg"", ""https://krisha-photos.kcdn.online/webp/16/16836e4c-e2fd-4b55-ae6c-ee01c206bd91/5-full.jpg"", ""https://krisha-photos.kcdn.online/webp/16/16836e4c-e2fd-4b55-ae6c-ee01c206bd91/6-full.jpg"", ""https://krisha-photos.kcdn.online/webp/16/16836e4c-e2fd-4b55-ae6c-ee01c206bd91/7-full.jpg"", ""https://krisha-photos.kcdn.online/webp/16/16836e4c-e2fd-4b55-ae6c-ee01c206bd91/8-full.jpg"", ""https://krisha-photos.kcdn.online/webp/16/16836e4c-e2fd-4b55-ae6c-ee01c206bd91/9-full.jpg"", ""https://krisha-photos.kcdn.online/webp/16/16836e4c-e2fd-4b55-ae6c-ee01c206bd91/10-full.jpg"", ""https://krisha-photos.kcdn.online/webp/16/16836e4c-e2fd-4b55-ae6c-ee01c206bd91/11-full.jpg"", ""https://krisha-photos.kcdn.online/webp/16/16836e4c-e2fd-4b55-ae6c-ee01c206bd91/12-full.jpg"", ""https://krisha-photos.kcdn.online/webp/16/16836e4c-e2fd-4b55-ae6c-ee01c206bd91/13-full.jpg"", ""https://krisha-photos.kcdn.online/webp/16/16836e4c-e2fd-4b55-ae6c-ee01c206bd91/14-full.jpg"", ""https://krisha-photos.kcdn.online/webp/16/16836e4c-e2fd-4b55-ae6c-ee01c206bd91/15-full.jpg"", ""https://krisha-photos.kcdn.online/webp/16/16836e4c-e2fd-4b55-ae6c-ee01c206bd91/16-full.jpg"", ""https://krisha-photos.kcdn.online/webp/16/16836e4c-e2fd-4b55-ae6c-ee01c206bd91/17-full.jpg"", ""https://krisha-photos.kcdn.online/webp/16/16836e4c-e2fd-4b55-ae6c-ee01c206bd91/18-full.jpg"", ""https://krisha-photos.kcdn.online/webp/16/16836e4c-e2fd-4b55-ae6c-ee01c206bd91/19-full.jpg"", ""https://krisha-photos.kcdn.online/webp/16/16836e4c-e2fd-4b55-ae6c-ee01c206bd91/20-full.jpg"", ""https://krisha-photos.kcdn.online/webp/16/16836e4c-e2fd-4b55-ae6c-ee01c206bd91/21-full.jpg"", ""https://krisha-photos.kcdn.online/webp/16/16836e4c-e2fd-4b55-ae6c-ee01c206bd91/22-full.jpg"", ""https://krisha-photos.kcdn.online/webp/16/16836e4c-e2fd-4b55-ae6c-ee01c206bd91/23-full.jpg"", ""https://krisha-photos.kcdn.online/webp/16/16836e4c-e2fd-4b55-ae6c-ee01c206bd91/24-full.jpg""]",24,5188f2fe6f13948dd7ac6ac881bc5a4ab7003bcb0fc95825275ea159fa955484,,Хозяин,False,2026-08-13,2025-03-13,2026-08-13,live,2026-08-23T16:38:43+00:00,duplicate_id
1012565357,https://krisha.kz/a/show/1012565357,3-комнатная квартира · 78 м² · 14/14 этаж,365000,за месяц,4679,3,78,14,14,Esilyskiy_r-n,Astana,E_915,13,51.088362220065,71.466062664931,17790553,jetisukerbez,Jetisu.Kerbez,полностью,"свежий ремонт, новая мебель",,,,,"ЖК Жетысу Кербез 2, новая 3х ком квартира и чистая. Сдам квартиру по месячно на длительный срок. Цена 365.000+ком. услуга+депозит 50.000","[""https://krisha-photos.kcdn.online/webp/22/22c05bde-ad28-482e-848c-321133b1968a/1-full.jpg"", ""https://krisha-photos.kcdn.online/webp/22/22c05bde-ad28-482e-848c-321133b1968a/2-full.jpg"", ""https://krisha-photos.kcdn.online/webp/22/22c05bde-ad28-482e-848c-321133b1968a/3-full.jpg"", ""https://krisha-photos.kcdn.online/webp/22/22c05bde-ad28-482e-848c-321133b1968a/4-full.jpg"", ""https://krisha-photos.kcdn.online/webp/22/22c05bde-ad28-482e-848c-321133b1968a/5-full.jpg"", ""https://krisha-photos.kcdn.online/webp/22/22c05bde-ad28-482e-848c-321133b1968a/6-full.jpg""]",6,6d23514d2944c672aea12a818d9ed1145dc6989102fc032443b452861ad05c3b,,Хозяин,False,2026-08-13,2026-05-26,2026-08-13,live,2026-08-23T16:38:43+00:00,duplicate_id
1014610887,https://krisha.kz/a/show/1014610887,6-комнатная квартира · 500 м² · 1/4 этаж,3000000,за месяц,6000,6,500,1,4,Esilyskiy_r-n,Astana,"Kerey,_Zhanibek_handar",8a,51.09849836763,71.458449426174,8708954,vip-gorodok-saranda,Vip-городок Saranda,полностью,"свежий ремонт, новая мебель",нет,,,,"Умный дом. 
Алиса 
Паркинг 
Гараж 
Полностью меблированная на длительный срок.",[],0,,,Хозяин,False,2026-08-13,2026-08-07,2026-08-13,live,2026-08-23T16:38:43+00:00,duplicate_id
1013767457,https://krisha.kz/a/show/1013767457,1-комнатная квартира · 43 м² · 2/14 этаж,270000,за месяц,6279,1,43,2,14,Esilyskiy_r-n,Astana,Uly_Dala,41,51.097886654735,71.414905992534,8543612,,Panorama Park,,,нет,,,,"Преимущества расположения: 
развитая инфраструктура; 
рядом школы и детские сады; 
продуктовые магазины, аптеки, кафе и кофейни в шаговой доступности; 
удобная транспортная развязка и остановки общественного транспорта; 
недалеко находятся Ботанический сад, EXPO, Astana Arena, Mega Silk Way и другие ключевые объекты города. 
Квартира чистая, уютная и полностью готова к проживанию. Тихий двор, современные подъезды, комфортная атмосфера для жизни. 
По всем вопросам звоните или пишите — с удовольствием отвечу и покажу квартиру в удобное для вас время. 
 
1) + коммунальные платежи 
2) Депозит 100000 тенге (возвратный) 
3) на длительный срок - 12 месяцев 
4) подходит для проживания одного или двух человек 
5) без животных","[""https://krisha-photos.kcdn.online/webp/d6/d63c2053-ee18-4ed5-8d37-4c89323b5c38/1-full.jpg"", ""https://krisha-photos.kcdn.online/webp/d6/d63c2053-ee18-4ed5-8d37-4c89323b5c38/2-full.jpg"", ""https://krisha-photos.kcdn.online/webp/d6/d63c2053-ee18-4ed5-8d37-4c89323b5c38/3-full.jpg"", ""https://krisha-photos.kcdn.online/webp/d6/d63c2053-ee18-4ed5-8d37-4c89323b5c38/4-full.jpg"", ""https://krisha-photos.kcdn.online/webp/d6/d63c2053-ee18-4ed5-8d37-4c89323b5c38/5-full.jpg"", ""https://krisha-photos.kcdn.online/webp/d6/d63c2053-ee18-4ed5-8d37-4c89323b5c38/6-full.jpg"", ""https://krisha-photos.kcdn.online/webp/d6/d63c2053-ee18-4ed5-8d37-4c89323b5c38/7-full.jpg""]",7,0e03737b2dae9cc82c9493780484b8057d73b1977199679be617ce68acaef8d7,,Хозяин,False,2026-08-13,2026-07-08,2026-08-13,live,2026-08-23T16:38:43+00:00,duplicate_id
